Startup,URL,Opportunity Space,Country,Business Description,Year Founded,"Maturity (Existing, Emerging, Distant)",Total funding (US$),RMI Terminology Funding Round
Konfront,Www.konfront.mx,Enterprise Financial Management,Mexico,"Konfront provides strategic advisory, software and platforms to help companies evolve, scale and innovate. Konfront offers the a fully managed omnichannel strategy solution + multiplatform ecommerce store, a full digital analytics suite and a technology solution connecting backend microservices to functional frontends. ",2018,Growth and Expansion,200000,Seed
Sempli,www.sempli.co,Business Lending,Colombia,Sempli is the leading online lending platform for small businesses in Colombia,2017,Ready to Scale,30000000,Venture Capital / CVC
XCHANGE.LA,https://xchange.la/,Payments & Remittances,Ecuador,Somos un ecosistema de pagos que brinda facilidad a los pequeños negocios que no pueden realizar cobros con tarjeta de crédito/débito,2017,Growth and Expansion,200000,Pre-Seed
DinDin,Www.appdindin.com,Digital Banks,Brazil,"Digital account for people and companies with full payments and charging solutions, through app, prepaid card, internet banking, and APIs.",2016,Ready to Scale,200000,Pre-Seed
Hamoc,hamoc.mx,Insurance,Mexico,Hamoc creates trust to facilitate home rentals through engineering solutions.,2016,Ready to Scale,200000,Pre-Seed
IF Asistente Virtual de Negocios,https://if-bot.com,Enterprise Financial Management,Mexico,El consultor virtual con el que los emprendedores toman decisiones financieras acertadas que ayudan a predecir y mitigar riesgos,2016,Ready to Scale,200000,Seed
Monific,Monific.com,Crowdfunding,Mexico,"Crowdfunding de experiencias inmobiliarias” invierte en propiedades de forma segura y haz crecer tu dinero! Desde $1,000",2018,Ready to Scale,200000,Seed
Uppercap,www.uppercap.com,Crowdfunding,Chile,Una plataforma que redefine la interacción entre inversionistas y empresas a través de la digitalización de su capital permitiendo una transacción simple y segura a través del uso de la tecnología blockchain.,2019,Launched,240000,Seed
Bien para Bien,https://bienparabien.com,Business Lending,Mexico,"Tu negocio te da mucho, haz lo mismo por él con una inversión de capital para que siga creciendo. Cotiza tu crédito en bienparabien.com",2013,Growth and Expansion,40000000,Venture Capital / CVC
trii,trii.co,Trading & Capital Markets,Colombia,trii elimina todas las barreras de entradas al mercado de acciones de Colombia.,2019,Beta Version ready for Commercial Release,250000,Seed
Currency Bird,https://currencybird.cl,Payments & Remittances,Chile,Transferencias internacionales en línea y de bajo costo.,2015,Growth and Expansion,250000,Seed
RedGirasol,redgirasol.com,Crowdfunding,Mexico,Crowdfunding solar,2016,Growth and Expansion,250000,Pre-Seed
Alterbank,www.alterbank.com.br,Digital Banks,Brazil,Alterbank is the first cryptocurrency-friendly digital account in Brazil connected in a pre-paid VISA card.,2018,Launched,250000,Seed
Milkcash,milkcash.do,Personal Financial Management,Dominican Republic,Educacion financienra automatizada y gratuita.,2018,Launched,250000,Venture Capital / CVC
Creze,www.creze.com,Business Lending,Mexico,Working capital solutions for SMEs,2016,Growth and Expansion,100000000,Venture Capital / CVC
Konfío,https://konfio.mx,Business Lending,Mexico,"Konfío is the leading financial services platform for small businesses in Mexico that uses data for rapid credit assessment, allowing owners to focus on what’s important – growing their business.",2013,Beta Version ready for Commercial Release,N/A,Venture Capital / CVC
Facturatio,www.facturatio.com.ar,Personal Financial Management,Argentina,Agile and simple invoicing and reporting platform for micro businesses,2015,Ready to Scale,250000,Seed
Front,www.front.com.ar,Wealth Management,Argentina,"front is a platform that allows you to save money easily and entertainingly based on your savings goals, recommending you how to invest your money and another benefit when you reach your goals.",2016,Ready to Scale,250000,Pre-Seed
Qüilo,https://vivequilo.com/,Insurance,Guatemala,"Qüilo is an insurance and benefits platform for companies, their workers, and informal workers.",2016,Ready to Scale,250000,Venture Capital / CVC
GeoPagos,www.geopagos.com,Enterprise Technology for Financial Institutions,Argentina,"Creamos soluciones de pago intuitivas y seguras, a través de todas las plataformas y canales, para una nueva generación de comercios. Brindamos servicio a bancos, procesadoras, adquirentes y agregadores en América Latina.",2013,Growth and Expansion,260000,Seed
Iproveedor,www.iproveedor.com,Business Lending,Colombia,Iproveedor es una plataforma tecnológica y su objetivo es ayudar a financiar y mejorar la cadena de valor de las organizaciones a través de operaciones de factoring y módulos complementarios,2006,Growth and Expansion,N/A,Seed
kompensity,www.kompensity.com,Enterprise Financial Management,Colombia,1. Conectamos e Inspiramos las diferentes generaciones de empleados bajo un ecosistema digital logrando el mejoramiento de indicadores de engagement & productividad. Revolucionamos la oferta de Valor al empleados EVP. Generamos Experiencia al empleado. EX.,2014,Growth and Expansion,270000,Seed
Contento,https://vivocontento.com,Digital Banks,Guatemala,Experiencia omnicanal de servicios para la inclusión financiera,2019,Beta Version ready for Commercial Release,300000,Seed
Leoa,www.leoa.com.br,Enterprise Financial Management,Brazil,Leoa is a virtual assitant that prepare income tax declaration for free.,2018,Beta Version ready for Commercial Release,300000,Venture Capital / CVC
Plexo,www.plexo.com.uy,Payments & Remittances,Uruguay,Plexo es una fintech orientada hacia la Inclusión Financiera y la sustitución del efectivo por medios electrónicos,2017,Beta Version ready for Commercial Release,300000,Venture Capital / CVC
NowPlayNoGames,Www.nowplaynogames.com,Personal Financial Management,Chile,Agencia de innovación para la industria de los esports,2018,Demo/Prototype,300000,Pre-Seed
Chipax,https://www.chipax.com/,Enterprise Financial Management,Chile,Finanzas bajo control para tu Pyme,2016,Growth and Expansion,300000,Venture Capital / CVC
Prestaclub,www.prestaclub.com,Business Lending,Peru,Asesoría legal y financiera para facilitar préstamos a personas rechazadas por el sistema financiero,2002,Growth and Expansion,N/A,Seed
Expediente Azul,expedienteazul.com,Enterprise Technology for Financial Institutions,Mexico,"Expediente Azul automates the document gathering process for large loans that require the customer sending 15-30 documents by reducing the friction caused by missing, incorrect or outdated documents sent by the customer speeding up the KYC process 2.5X and reducing abandonment 2X",2018,Growth and Expansion,300000,Pre-Seed
Capital Funding Lab,capitalfundinglab.com,Business Lending,Mexico,"Capital Funding Lab pone las Finanzas al alcance de todos de una manera fácil y sencilla, ofreciendo rentabilidades y financiamientos competitivos",2016,Growth and Expansion,N/A,Seed
Tienda Red,www.tiendared.net,Enterprise Technology for Financial Institutions,Mexico,Somos una plataforma tecnológica que evalúa y califica mom & pops permitiéndoles acceder a micro prestamos para garantizar el abasto de sus comercios por medio de una aplicación con 3 portafolios que les permiten incrementar sus ingresos hasta 20% adicional.,2017,Growth and Expansion,300000,Pre-Seed
WeeCompany,www.weecompany.net,Insurance,Mexico,Transformación digital del sector salud y asegurador,2016,Growth and Expansion,300000,Venture Capital / CVC
Buydepa,www.buydepa.com,Payments & Remittances,Chile,"Simplificamos la compra de propiedades, valorizando con IA y uniendo al vendedor con el mercado de capitales",2019,Launched,300000,Seed
Virtual capital of America,https://www.virtualcapitalofamerica.com,Digital Banks,Colombia,We facilitate global trade through a wide variety of payment products and services that go beyond borders,2017,Launched,300000,Pre-Seed
WIBOND,www.wibond.com.ar,Enterprise Financial Management,Argentina,"Wibond is an fintech company that facilitates corporate collection, payments and investment providing comprehensive management solutions in order to empower businesses and simplify transactions.",2018,Launched,300000,Venture Capital / CVC
Fina Antecipações de Recebíveis,finafacil.com,Business Lending,Brazil,"Fina makes the small business owner and self-employed professional's life easier by providing fast, simple and secure credit. Through partner companies registered on the Fina platform, their suppliers will be able to request an advance on their credits receivable for services rendered or goods delivered, without bureaucracy and everything is online.",2017,Growth and Expansion,N/A,Seed
Mais Retorno,maisretorno.com,Wealth Management,Brazil,Mais Retorno is the best open platform of hedge funds investments data in Brazil,2017,Ready to Scale,300000,Seed
CapitalTech powered by MFM,www.capitaltech.com,Business Lending,Mexico,Financiera regiomontana con la misión de ofrecer créditos y liquidez para impulsar a las pymes en México.,2010,Growth and Expansion,N/A,Seed
Sesocio.com,www.sesocio.com,Crowdfunding,Argentina,"SeSocio.com, el Marketplace de Inversiones lider en Latinoamérica. Nuestra misión es democratizar las inversiones, permitiendo que cualquier persona pueda convertirse en inversor y realizar operaciones sin montos mínimos, de manera ágil y segura en todo el mundo.",2017,Growth and Expansion,310000,Seed
Facturama,www.facturama.mx,Enterprise Financial Management,Mexico,Gestión de facturación electrónica para personas físicas y micro empresas,2012,Growth and Expansion,325000,Venture Capital / CVC
Atar,www.atarpay.com,Digital Banks,Brazil,"We are a digital bank. We offer digital accounts for companies and to the end user, also white label and BAAS services.",2014,Ready to Scale,325000,Seed
EdiPro,www.edipro.cl,Enterprise Financial Management,Chile,Platform for smart condominiums,2015,Growth and Expansion,330000,Venture Capital / CVC
Dattos,https://www.dattos.com.br,Enterprise Financial Management,Brazil,Dattos is a data-matching and reconciliation that allows business to achieve a faster and month-end financial close proceses,2011,Ready to Scale,337500,Venture Capital / CVC
El Buen Socio,www.elbuensocio.com.mx,Business Lending,Mexico,"El Buen Socio is an ethical finance institution in Mexico that promotes sustainable development by strengthening people capabilities and supporting entrepreneurs with sustainable businesses. El Buen Socio issues loans to entrepreneurs unable to obtain a loan through other banking institutions. El Buen Socio supports entrepreneurs who farm, forest, or fish in an eco-friendly way with sustainable use of natural resources. All loan proposals must have a positive social or environmental impact, and must be profitable.",2012,Ready to Scale,N/A,Venture Capital / CVC
4KST Tecnologia,www.4kst.com,"Scoring, Identity & Fraud",Brazil,Less Risk by customizing Credit Score and Anti-Fraud with Model Update in Real Time,2017,Launched,350000,Seed
MOVA Sociedade de Empréstimo Entre Pessoas S.A.,www.mova.vc,Business Lending,Brazil,Somos o 1º Peer-to-Peer Lending aprovado e supervisionado pelo Banco Central na forma de Sociedade de Empréstimo entre Pessoas (SEP).,2019,Ready to Scale,N/A,Seed
xHash (Boolean),xhash.tech/boolean,Enterprise Technology for Financial Institutions,Mexico,"Every day financial institutions and big corporations across the globe execute millions of identity verification, AML, compliance, and risk management processes in a semi-manual and spreadsheet based way, making it incredibly hard to unify all the information needed to run a properly compliant operation. We help them control money laundering, identity fraud and compliance risk by automating onboarding, KYC, compliance and risk management processes.",2018,Ready to Scale,350000,Venture Capital / CVC
Facenote,https://facenote.me,Payments & Remittances,Argentina,Face recognition platform that enables frictionless personalization and facial payments.,2017,Ready to Scale,360000,Venture Capital / CVC
DB Menos,www.dbmenos.com,Personal Financial Management,Mexico,Plataforma digital que permite liquidar créditos atrasados.,2017,Growth and Expansion,370000,Venture Capital / CVC
Bitmec,www.bitmec.com,Insurance,Guatemala,Quality affordable last mile healthcare for rural communities,2015,Ready to Scale,380000,Venture Capital / CVC
goLiza,www.goliza.com.br,Enterprise Technology for Financial Institutions,Brazil,"goLiza is a B2B platform to manage all documents and informations, and maintain always updated",2018,Ready to Scale,380000,Pre-Seed
Tappoyo Fintech,www.tappoyo.com,Business Lending,Peru,"Tappoyo brinda servicios financieros con simplicidad, prontitud y precios justos a través de una experiencia 100% digital. A la fecha Aportamos un enfoque único en la suscripción de micro préstamos para un segmento excluido y mal atendido en el Perú.",2018,Ready to Scale,N/A,Seed
Axend Marketplace,axend.io,Wealth Management,Mexico,Investment Marketplace that connects each person with their ideal investment product.,2017,Growth and Expansion,400000,Venture Capital / CVC
Hugpay,www.hugpay.com.br,Digital Banks,Brazil,Empresa de meio de pagamento - Baas,2010,Ready to Scale,400000,Seed
Yu-Track Enterprise,https://yu-track.com/,Enterprise Technology for Financial Institutions,Chile,"Yu-Track es una plataforma de optimización logística para equipos de ventas y cobranza en terreno, que entrega visibilidad de sus actividades y performance. Logrando medir cuales son los Key Behavior Indicators o KBI's que producen los mejores resultados para escalar dichos comportamientos en el resto del equipo",2016,Growth and Expansion,400000,Pre-Seed
YUBB,https://yubb.com.br,Personal Financial Management,Brazil,The largest investment and brokers comparison tool in Brazil.,2014,Growth and Expansion,400000,Seed
Meu Câmbio,empresas.meucambio.com.br,Trading & Capital Markets,Brazil,"Meu Câmbio connects customers and financial institutions through innovation and technology, generating operational efficiency. Meu Câmbio has recently launched an international trade platform to solve pain points in any cross-border transaction from small and medium enterprises.",2014,Launched,400000,Seed
ArmaTuVaca,Armatuvaca.com,Payments & Remittances,Colombia,Canalizacion y dispersión de pagos en línea,2015,Ready to Scale,400000,Seed
IDEssentials,www.idessentials.io,Digital Banks,Brazil,Secure Digital Banking & Openbanking,2019,Ready to Scale,400000,Seed
Lynx Trade Cia. Ltda,www.lynxtrade.com,Trading & Capital Markets,Ecuador,"Financial software developers, mostly develop cloud based solutions.",2012,Ready to Scale,400000,Venture Capital / CVC
Dank,www.dank.cl,Digital Banks,Chile,Dank es un neobanco digital para emprendedores que busca ser el sistema operativo de la vida cotidiana de tu negocio.,2020,Ready to Scale,420000,Venture Capital / CVC
Uniclick,uniclick.mx,Business Lending,Mexico,Fintech especializada en la oferta de productos e información financiera a PYMES,2019,Ready to Scale,N/A,Venture Capital / CVC
Mango Life,mangolife.mx,Insurance,Mexico,Digital Life insurance broker.,2017,Ready to Scale,450000,Pre-Seed
Signatura,Signatura.co,Enterprise Technology for Financial Institutions,Argentina,Firma electrónica y certeza digital basada en blockchain,2016,Ready to Scale,450000,Venture Capital / CVC
ábaco,www.abacolatam.com,"Scoring, Identity & Fraud",Colombia,Plataforma de financiación para la gig-economy,2018,Ready to Scale,460000,Seed
arces,arces.mx,Crowdfunding,Mexico,arces le da acceso a pequeños inversionistas al negocio inmobiliario de preventa para revender al finalizar la construcción.,2019,Beta Version ready for Commercial Release,500000,Venture Capital / CVC
Pefai,www.pefai.com,Enterprise Financial Management,Mexico,The portal to whatever you need,2019,Beta Version ready for Commercial Release,500000,Venture Capital / CVC
B89,https://www.linkedin.com/company/b89,Digital Banks,Peru,"Techfin que ofrece servicios financieros 100% digitales, justos, transparentes y simples",2019,Demo/Prototype,500000,Seed
Lidh,lidh.com.mx,Digital Banks,Mexico,Plataforma que brinda servicios financieros a mujeres,2019,Demo/Prototype,500000,Pre-Seed
Banza,www.banza.com.ar,Wealth Management,Argentina,"Revolucionando la forma en que las personas y las empresas invierten, ahorran y se financian.",2018,Growth and Expansion,500000,Venture Capital / CVC
Buda.com,www.buda.com,Trading & Capital Markets,Chile,Exchange de Criptomonedas,2015,Growth and Expansion,500000,Venture Capital / CVC
Emprestame,https://emprestame.com/,Consumer Lending,Peru,"Plataforma de inclusión financiera, préstamos para personas y mypes nobancarizadas",2018,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Formiik,www.formiik.com,Enterprise Technology for Financial Institutions,Mexico,omation & virtual assistant platforms perfectly matched to Latin America's financial sector needs & challenges,2012,Growth and Expansion,500000,Seed
PAGOS360,https://pagos360.com,Enterprise Financial Management,Argentina,"Pagos360.com permite aceptar y realizar pagos digitales de forma segura, rápida y fácil.",2014,Growth and Expansion,500000,Seed
Lanissimo,https://lanissimo.com/,Consumer Lending,Mexico,Tenemos el propósito de capacitar a la población con educación financiera y otorgar préstamos accesibles a mujeres.,2019,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
GRAFENO DIGITAL,https://www.grafeno.digital/,Enterprise Financial Management,Brazil,"Be a digital platform, facilitating access to the credit market, from end to end in one click",2019,Launched,500000,Venture Capital / CVC
reconoSER ID,www.reconoserid.com,"Scoring, Identity & Fraud",Colombia,Usamos la identidad digital como vehículo para apoyar los procesos de OnBoarding y autenticación electrónica,2020,Launched,500000,Venture Capital / CVC
ParKredita,https://parkredita.com/,Consumer Lending,Mexico,Eliminamos las barreras de acces al crédito a tasas justas,2020,Beta Version ready for Commercial Release,0,No Funding Received / No Hemos Recibido Fondos
Celero,Www.celero.com.br,Enterprise Financial Management,Brazil,We save SME’s for bankruptcy,2016,Ready to Scale,500000,Seed
ComunidadFeliz.com,www.ComunidadFeliz.com,Enterprise Financial Management,Chile,Software para administrar las finanzas y la comunicación de edificios y condominios.,2016,Growth and Expansion,565000,Venture Capital / CVC
Prestapolis,www.prestapolis.com,Consumer Lending,Colombia,Credit democratization,2018,Demo/Prototype,0,No Funding Received / No Hemos Recibido Fondos
dapp,www.dapp.mx,Payments & Remittances,Mexico,"La nueva red de pagos digitales que interopera por medio de un QR universales a Wallets, Bancos emisores, Bancos Adquirentes, CODI y Comercios.",2019,Launched,600000,Seed
2Transfair,www.2transfair.com,Digital Banks,Colombia,We transform your financial institution to fintech for digital lending.,2016,Ready to Scale,600000,Seed
Monnos,monnos.com,Trading & Capital Markets,Brazil,Social trading of Crypto,2018,Ready to Scale,600000,Seed
Pago Fácil SpA,https://www.pagofacil.cl,Enterprise Financial Management,Chile,Suite de automatización de cobros y envíos de dinero.,2017,Ready to Scale,600000,Venture Capital / CVC
Tu Identidad,www.tuidentidad.com,"Scoring, Identity & Fraud",Mexico,Solution that safely auto on board a customer or partner eliminating the identity theft and significantly increasing the customer experience,2017,Ready to Scale,600000,Venture Capital / CVC
Saffe,https://www.saffe.com.br/,"Scoring, Identity & Fraud",Brazil,Saffe is a world-class facial recognition technology provider based on artificial inteligence and deep learning and focused on payments and secure authentications.,2015,Ready to Scale,620000,Venture Capital / CVC
CashDepot International SRL,https://cashdepotint.com/,Consumer Lending,Dominican Republic,"Cash Depot is an innovation leader providing employee benefit outsourcing solutions to medium, large and multinational organizations. We provide a Horizontal Integration solution to managing employee benefits. Our key capabilities: · Leveraging our collective bargaining power to achieve economies of scale · Industry expertise with focus on combining IT and Business Process solutions · Flexibility based on customer / industry needs · Innovative solutions including process automation and intelligent web-based applications that do not require integration",2015,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Bruno,www.bruno.com.mx,Insurance,Mexico,Comprometidos con hacer los seguros compatibles con la vida digital de los usuarios,2019,Beta Version ready for Commercial Release,650000,Seed
Druber,www.druberapp.com,Trading & Capital Markets,Argentina,The ultimate financial platform for travelers,2019,Beta Version ready for Commercial Release,650000,Seed
AirOrHouse,www.airorhouse.com,Crowdfunding,Peru,Financiamiento Colectivo Inmobiliario y bienes raíces. Queremos pueblos mágicos.,2019,Growth and Expansion,650000,Seed
CROWDIUM,www.crowdium.com,Crowdfunding,Argentina,First Latin American Real Estate Crowdfunding Platform 100% online,2015,Growth and Expansion,650000,Pre-Seed
Credyty,www.credyty.com,Consumer Lending,Colombia,plataforma digital de crédito educativo,2018,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
ElegirSeguro.com,ElegirSeguro.com,Insurance,Argentina,Smart Insurance for Small and Medium Enterprises,2019,Ready to Scale,700000,Venture Capital / CVC
Bayonet,Www.bayonet.io,"Scoring, Identity & Fraud",Mexico,Bayonet ayuda a empresas que venden productos o servicios por internet a protegerse del fraude dr manera colectiva.,2017,Ready to Scale,756000,Venture Capital / CVC
Inverspot,www.inverspot.mx,Crowdfunding,Mexico,"Plataforma fintech que da el acceso a invertir en el sector inmobiliario desde 20,000 pesos",2016,Growth and Expansion,800000,Venture Capital / CVC
criptopi,www.criptopi.com,Consumer Lending,Colombia,Créditos con garantía en bitcoin,2019,Growth and Expansion,0,No Funding Received / No Hemos Recibido Fondos
Multiburó,www.multiburo.com.mx,"Scoring, Identity & Fraud",Mexico,Plataforma de tecnología para el sector inmobiliario que permite acelerar e incrementar la seguridad en rentas inmobiliarias.,2019,Ready to Scale,800000,Seed
BEDROP COLOMBIA SAS,www.bedropcolombia.com.co,Consumer Lending,Colombia,Bedrop Colombia SAS es una compañia Fintech 100% en línea. Solución Creditica para esas pequeñas necesidades. Inclusión financiera para los colombianos,2018,Launched,0,No Funding Received / No Hemos Recibido Fondos
briq.mx,https://www.briq.mx,Crowdfunding,Mexico,Crowdfunding for real estate projects in Mexico,2015,Ready to Scale,880000,Venture Capital / CVC
mycashless,mycashless.com,Crowdfunding,Mexico,Auditing on steroids. Are you an event owner? sell more with simplicity and control.,2017,Ready to Scale,900000,Seed
TiendAPP,https://www.tiendapp.net/,Payments & Remittances,Colombia,TiendAPP transforms communication and purchases between suppliers and SMEs. Increasing sales by + 18% and reducing costs by -14%,2016,Ready to Scale,960000,Pre-Seed
delt.ai,https://delt.ai,Digital Banks,Mexico,Digital Banking for Startups in LatAm,2019,Beta Version ready for Commercial Release,1000000,Pre-Seed
Point Payments,www.point.do,Payments & Remittances,Dominican Republic,"Point is a payments platform that allows businesses to accept digital and electronic payment methods, offering users a more convenient and safer way of paying, and businesses the opportunity to relate to their users and manage their operations in one platform.",2017,Beta Version ready for Commercial Release,1000000,Venture Capital / CVC
Mutual.Life,https://mutual.life/br,Insurance,Brazil,"Insurtech que permite al usuario distribuir indemnizaciones con personas con un perfil de riesgo similar, con transparencia, flexibilidad y sin asimetría de información.",2016,Demo/Prototype,1000000,Seed
Nubloq,www.nubloq.co,Enterprise Technology for Financial Institutions,Colombia,"Platform where Financial Institutions and Fintechs meet, collaborate and integrate. Easy to use environment where devs can create new financial products and apps in days through APIs building blocks",2020,Demo/Prototype,1000000,Venture Capital / CVC
Appa,getappa.com.ar,Personal Financial Management,Argentina,"¡Appa! is a digital fidelity program provider that offers services such as segmented discounts according to client profile and business nature. They track their clients users shopping experience, tracking various shopping aspects and user behavior, and then use this information to offer exaclty what the user is searching for. Other solutions ¡Appa! provides include personalised notifications and association with existing fidelity programs. ¡Appa! is already located in 14 commercial centres throughout Argentina, spanning 600+ brands. Some key customers include Adidas Originals, Prüne, AKIABARA, and Levi's Store. ¡Appa! just released a fully functional mobile application in October 2019.",2018,Growth and Expansion,1000000,Venture Capital / CVC
BWISE,http://www.b-wise.com/,Payments & Remittances,Ecuador,Empresa fintech que fortalece a pequeños comercios y los integra a cadenas de valor por medio de tecnología habilitante,2014,Growth and Expansion,1000000,Venture Capital / CVC
Ceptinel,www.ceptinel.com,"Scoring, Identity & Fraud",Chile,"Ceptinel se conecta a todo tipo de bases de datos y fuentes de información internas y externas, procesa reglas de análisis en tiempo real y genera alertas Dov de situaciones anómalas",2016,Growth and Expansion,1000000,Venture Capital / CVC
ProntoCobro (Summit S.A.),ProntoCobro.com,Enterprise Technology for Financial Institutions,Argentina,Ayudamos a las empresas a mejorar sus indicadores de cobranza y a las financieras tradicionales a vender online,2007,Ready to Scale,1000000,Venture Capital / CVC
Konduto,konduto.com,"Scoring, Identity & Fraud",Brazil,Konduto es la evolución del antifraude. Usamos el poder de la inteligencia artificial y del comportamiento de navegación para crear el modelo de análisis de riesgo ideal.,2014,Growth and Expansion,1000000,Venture Capital / CVC
Tudecide.com,https://www.tudecide.com/,Personal Financial Management,Mexico,Compare services to improve your personal finance,2007,Ready to Scale,1000000,Seed
PUNTO PAGO PANAMA S.A,www.puntopago.net,Payments & Remittances,Panama,"Empresa con Kioskos automáticos, para pagos de cuentas publicas, como servicio de energia, pago de tiquete del metro, cable, internet, recargas telefonicas.",2012,Growth and Expansion,1000000,Venture Capital / CVC
maat.ai,maat.ai,"Scoring, Identity & Fraud",Mexico,"Welcome to the new Community of Trust! Identify your employees, clients and users requesting their certified documents and creating digital records in an easy and secure way.",2018,Launched,1000000,Venture Capital / CVC
Millas para el Retiro,www.millasparaelretiro.com,Personal Financial Management,Mexico,Presentamos la primera tecnología que promueve y facilita el ahorro voluntario para el retiro a través del consumo diario.,2018,Launched,1000000,Venture Capital / CVC
Tauros,tauros.io,Digital Banks,Mexico,primer neo-cryptobanco en Mexico,2018,Launched,1000000,Venture Capital / CVC
Lending Platform,http://lending.poincenot.com/,Consumer Lending,Argentina,"Online Lending es una plataforma tecnológica de marca blanca que, a través de innovación digital, brinda un servicio end to end de otorgamiento de préstamos.",2015,Launched,0,No Funding Received / No Hemos Recibido Fondos
Blumon Pay,www.blumonpay.com,Payments & Remittances,Mexico,Gateway de Pagos Electrónicos,2015,Ready to Scale,1000000,Venture Capital / CVC
EqSeed,eqseed.com,Crowdfunding,Brazil,Plataforma de investimentos em startups,2015,Ready to Scale,1000000,Venture Capital / CVC
Kikoya,www.kikoya.mx,Enterprise Technology for Financial Institutions,Mexico,From traditional lender to Fintech in 10 days,2015,Ready to Scale,1000000,Venture Capital / CVC
miautohoy.com,www.miautohoy.com,Consumer Lending,Argentina,Plataforma fintech para la industria automotriz,2018,Launched,0,No Funding Received / No Hemos Recibido Fondos
Panacredito,Www.panacredito.do,Consumer Lending,Dominican Republic,Providing YES to all the No’s,2011,Launched,0,No Funding Received / No Hemos Recibido Fondos
Rupee,https://www.rupee.com.r,Enterprise Financial Management,Brazil,"Rupee is a cloud platform that connect accountants to their final users giving them delivarable control through agile methods, transparency and team control. In this sense, Rupee use algorithms to discover which tax, tax returns, payroll obligations, among others will be aplied to each company.",2017,Ready to Scale,1000000,Venture Capital / CVC
TÁ PAGO,www.tapago.com.br,Payments & Remittances,Brazil,"A TÁ PAGO é a 1ª fintech brasileira de Gestão de Benefícios 100% digital. Vales Alimentação, Refeição e Convênio direto do celular, a custo zero para empresas e usuários.",2013,Ready to Scale,1000000,Venture Capital / CVC
TuCrecimiento.com,https://TuCrecimiento.com,Consumer Lending,Panama,Agencia digital de generación de leads reales de préstamos para entidades financieras.,2019,Launched,0,No Funding Received / No Hemos Recibido Fondos
UALET,https://ualet.com/,Wealth Management,Colombia,The first regulated financial technology and financial services company for nano investments to help users invest without deep financial knowledge in a simple and delightful way with a 100% digital onboarding that enables accounts as low as 3 USD.,2018,Ready to Scale,1100000,Venture Capital / CVC
ARCA,www.segurosarca.com,Insurance,Mexico,"ARCA creates an easy to use platform for users to quote, issue and manage their policies from top insurers without dealing with today’s complicated traditional channels. To make this happen, we partner with industry leaders and integrate their old school systems to our modern frictionless technology",2013,Growth and Expansion,1200000,Venture Capital / CVC
FullFace Biometric Solutions,www.fullface.com.br,"Scoring, Identity & Fraud",Brazil,"FullFace Biometric Solutions has a proprietary algorithm of facial biometrics, is specialized at people identification, does not store images and can easily integrate with any existing hardware or software.",2013,Growth and Expansion,1200000,Venture Capital / CVC
Koibanx,Http://koibanx.com,Payments & Remittances,Argentina,Blockchain payments platform for Financial Institutions,2014,Ready to Scale,1200000,Venture Capital / CVC
SmartMEI,www.smartmei.com.br,Digital Banks,Brazil,"Platform that offers payments, accounting and benefits to contractors, freelancers and gig economy workers",2020,Ready to Scale,1225000,Venture Capital / CVC
Gestionix (Eleva),www.gestionix.com,Enterprise Financial Management,Mexico,"Creamos soluciones tecnológicas que brindan poder, cimientos y estructura a las operaciones de los pequeños negocios",2014,Growth and Expansion,1250000,Venture Capital / CVC
Bancrex,https://bancrex.co,Consumer Lending,Costa Rica,"Bancrex es una fintech de crédito, seguros y remesas online",2019,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Bemus,www.bemus.com.co,Consumer Lending,Colombia,hacemos créditos de consumo a personas naturales en línea de una forma simple y flexible,2013,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
BULLLA SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS SA,www.bullla.com.br,Consumer Lending,Brazil,BULLLA is a peer to peer lending plataform,2019,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Prisma Campaigns,www.prismacampaigns.com,Enterprise Technology for Financial Institutions,Uruguay,Delivering personalization at scale. The agile marketing platform for financial services.,2018,Growth and Expansion,1500000,Venture Capital / CVC
SeguroCanguro.com,https://segurocanguro.com/,Insurance,Colombia,"SeguroCanguro.com es donde compras tus seguros, donde los administras y donde gestionas tu riesgo.",2015,Growth and Expansion,1500000,Seed
SMU Investments (former StartMeUp Crowdfunding),www.smu.com.vc,Crowdfunding,Brazil,Investment platform that connects investors to startups companies that are fundraising,2013,Growth and Expansion,1500000,Venture Capital / CVC
digital credit,digitalcredit.mx,Consumer Lending,Mexico,consumer finance as a service. hacemos financiacion en punto de venta,2017,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Arkangeles.co,Www.arkangeles.co,Wealth Management,Mexico,Where everybody can invest in startups online,2017,Ready to Scale,1500000,Venture Capital / CVC
MatchMoney,www.matchmoney.com.br,Consumer Lending,Brazil,Eliminar intermediários sobre produtos financeiros imobiliários.,2018,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Medicredit,Www.medicredit.com.co,Consumer Lending,Colombia,Préstamos con destinación especifica al sector salud,2019,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
